id,name,description,brand,category,price,currency,sku,gtin,inStock,quantity,tags
LMBD-SERUM-001,Lumebondé Radiance Serum,"Brightening vitamin C serum with hyaluronic acid. Our signature product delivers instant luminosity and long-term brightening benefits.",Lumebondé,Skincare > Serums,89.00,USD,LMBD-SERUM-001,0850001234561,true,430,"bestseller,hero,vitamin-c,brightening"
LMBD-MOIST-001,Hydra Glow Moisturizer,"Deep hydration with peptides. This lightweight yet deeply nourishing moisturizer provides 72-hour hydration.",Lumebondé,Skincare > Moisturizers,65.00,USD,LMBD-MOIST-001,0850001234562,true,340,"bestseller,hero,hydrating,peptides"
LMBD-SHAMP-001,Silk Repair Shampoo,"Bond repair technology for damaged hair. Rebuilds broken bonds from within, restoring strength and shine.",Lumebondé,Haircare > Shampoos,42.00,USD,LMBD-SHAMP-001,0850001234563,true,425,"bestseller,hero,bond-repair,salon-quality"
LMBD-COND-001,Silk Repair Conditioner,"Matching conditioner for the Silk Repair system. Seals in repair benefits while providing instant detangling.",Lumebondé,Haircare > Conditioners,42.00,USD,LMBD-COND-001,0850001234564,true,320,"hero,bond-repair,conditioner"
LMBD-LIPOIL-001,Rose Petal Lip Oil,"Nourishing lip treatment with rose extract. Provides intense moisture with a subtle rose-gold shimmer.",Lumebondé,Makeup > Lip,28.00,USD,LMBD-LIPOIL-001,0850001234565,true,450,"hero,lip-care,rose,shimmer"
LMBD-KIT-SKIN,Complete Skincare Set,"The perfect introduction to Lumebondé skincare. Includes Radiance Serum and Hydra Glow Moisturizer.",Lumebondé,Skincare > Sets,139.00,USD,LMBD-KIT-SKIN,,true,120,"bundle,gift-set,skincare,value"
LMBD-KIT-HAIR,Hair Repair Duo,"Complete bond repair system. Shampoo and conditioner work together to rebuild hair from within.",Lumebondé,Haircare > Sets,74.00,USD,LMBD-KIT-HAIR,,true,95,"bundle,gift-set,haircare,bond-repair"
LMBD-KIT-HOLIDAY,Holiday Gift Set,"Limited edition holiday collection. Radiance Serum, two Lip Oils, and deluxe samples.",Lumebondé,Skincare > Sets,129.00,USD,LMBD-KIT-HOLIDAY,,true,65,"bundle,gift-set,holiday,limited-edition"
LMBD-TONER-001,Balancing Toner,"pH balancing formula with 5% glycolic acid. Preps skin for serums and moisturizers.",Lumebondé,Skincare > Toners,38.00,USD,LMBD-TONER-001,,true,180,"toner,exfoliating,prep"
LMBD-MASK-001,Overnight Repair Mask,"Intensive overnight treatment with retinol and peptides. Works while you sleep.",Lumebondé,Skincare > Masks,52.00,USD,LMBD-MASK-001,,true,110,"mask,overnight,repair,anti-aging"
LMBD-MIST-001,Hydrating Face Mist,"Refreshing facial mist for instant hydration. Perfect for setting makeup or mid-day refresh.",Lumebondé,Skincare > Mists,32.00,USD,LMBD-MIST-001,,true,220,"mist,hydrating,refreshing,travel-friendly"
LMBD-OIL-001,Hair Finishing Oil,"Lightweight shine treatment that tames frizz. UV filters protect color from fading.",Lumebondé,Haircare > Treatments,48.00,USD,LMBD-OIL-001,,true,150,"finishing,oil,shine,frizz-control"
LMBD-SAMPLE-SERUM,Serum Sample 5ml,"Deluxe sample of our bestselling Radiance Serum. Perfect for trial or travel.",Lumebondé,Skincare > Samples,0.00,USD,LMBD-SAMPLE-SERUM,,true,500,"sample,gwp,trial"
LMBD-SAMPLE-MOIST,Moisturizer Sample 7ml,"Deluxe sample of our Hydra Glow Moisturizer. Perfect for trial or travel.",Lumebondé,Skincare > Samples,0.00,USD,LMBD-SAMPLE-MOIST,,true,500,"sample,gwp,trial"
LMBD-SAMPLE-SHAMP,Shampoo Sachet 10ml,"Single-use sachet of Silk Repair Shampoo. Perfect for events or sampling.",Lumebondé,Haircare > Samples,0.00,USD,LMBD-SAMPLE-SHAMP,,true,800,"sample,sachet,event"

